pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
75.428,-103.289,180.0,bottom,A1,,,Arduino_Nano,Arduino_Nano_v3.x,tht
62.23,-81.953,180.0,bottom,C1,,,CP_Radial_D10.0mm_P2.50mm,0.1u,tht
54.61,-140.373,180.0,bottom,D1,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
57.426,-65.189,90.0,bottom,D10,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
71.882,-73.317,90.0,bottom,D11,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
68.332,-73.317,90.0,bottom,D12,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
64.782,-73.317,90.0,bottom,D13,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
61.22,-73.317,90.0,bottom,D14,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
19.05,-109.753,0.0,top,D15,,,LED_D3.0mm_FlatTop,LED,tht
34.544,-109.753,0.0,top,D16,,,LED_D3.0mm_FlatTop,LED,tht
19.05,-124.426,0.0,top,D17,,,LED_D3.0mm_FlatTop,LED,tht
34.544,-124.426,0.0,top,D18,,,LED_D3.0mm_FlatTop,LED,tht
19.05,-139.099,0.0,top,D19,,,LED_D3.0mm_FlatTop,LED,tht
54.61,-143.421,180.0,bottom,D2,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
34.544,-139.099,0.0,top,D20,,,LED_D3.0mm_FlatTop,LED,tht
75.176,-65.189,90.0,bottom,D5,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
71.626,-65.189,90.0,bottom,D6,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
68.076,-65.189,90.0,bottom,D7,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
64.526,-65.189,90.0,bottom,D8,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
60.976,-65.189,90.0,bottom,D9,,,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,BAT43,tht
19.23,-69.079,0.0,top,DS1,,,SSD1306_0.96_I2C_Display,~,smt
53.058,-75.319,0.0,top,J1,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10_Pin,tht
43.18,-132.811,0.0,top,J10,,,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,CLK/16,tht
56.642,-45.771995,-90.0,bottom,J11,,,IDC-Header_2x08_P2.54mm_Vertical_Eurorack,Conn_02x08_Row_Letter_Last,tht
53.086,-70.777,90.0,top,J12,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
19.812,-71.027,-90.0,bottom,J13,,,PinSocket_1x02_P2.54mm_Vertical,Conn_01x02_Socket,tht
78.966,-75.349,0.0,top,J2,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
27.94,-103.207,0.0,top,J3,,,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,Clock In,tht
19.812,-75.599,180.0,bottom,J4,,,PinSocket_1x10_P2.54mm_Vertical,Conn_01x10_Socket,tht
45.72,-75.599,180.0,bottom,J5,,,PinSocket_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
43.18,-103.207,0.0,top,J6,,,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,CLK,tht
27.94,-118.079,0.0,top,J7,,,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,CLK/2,tht
43.18,-118.079,0.0,top,J8,,,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,CLK/4,tht
27.94,-132.811,0.0,top,J9,,,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,CLK/8,tht
